ID,CaseNumber,Date,Block,IUCR,PrimaryType,Description,Location Description,Arrest,Domestic,Beat,District,Ward,CommunityArea,FBICode,X Coordinate,Y Coordinate,Year,UpdatedOn,Latitude,Longitude,Location
10801165,JA100077,01/01/2017 01:00:00 AM,0000X W DIVISION ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,True,False,1824,18.0,42.0,8.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801166,JA100115,01/01/2017 01:23:00 AM,084XX S SANGAMON ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,True,False,613,6.0,21.0,71.0,24,,,2017,01/08/2017 03:48:20 PM,,,
10801090,JA100010,01/01/2017 12:01:00 AM,064XX S STONY ISLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,314,3.0,5.0,42.0,14,,,2017,01/08/2017 03:48:20 PM,,,
10801101,JA100031,01/01/2017 12:00:00 AM,074XX S SOUTH CHICAGO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,324,3.0,5.0,69.0,14,,,2017,01/08/2017 03:48:20 PM,,,
10801104,JA100015,01/01/2017 12:00:00 AM,004XX W 66TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,722,7.0,20.0,68.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801111,JA100033,01/01/2017 12:00:00 AM,010XX W ADDISON ST,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,True,False,1923,19.0,44.0,6.0,26,,,2017,01/08/2017 03:48:20 PM,,,
10801112,JA100024,01/01/2017 12:22:00 AM,045XX N ELSTON AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,BAR OR TAVERN,True,False,1722,17.0,45.0,16.0,04B,,,2017,01/08/2017 03:48:20 PM,,,
10801118,JA100079,01/01/2017 01:20:00 AM,011XX N LAWNDALE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1112,11.0,27.0,23.0,14,,,2017,01/08/2017 03:48:20 PM,,,
10801119,JA100058,01/01/2017 01:15:00 AM,057XX S CALIFORNIA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,824,8.0,16.0,63.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801120,JA100037,01/01/2017 12:35:00 AM,013XX W 76TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,612,6.0,17.0,71.0,14,,,2017,01/08/2017 03:48:20 PM,,,
